FID IID Tidyness Happy_camper Like_of_levis abcd_site
1 1 -0.0521411423320655 -4.15319103327111 -0.69160400719928 1
2 2 0.3249020222086279 -0.133292724029327 -6.81345421584963 1
3 3 -3.0195590362119105 -2.99481209029868 0.8932094995540979 1
4 4 -5.928314106049809 0.487103419592547 1.60644002923525 1
5 5 -5.01502385158879 6.37310754465628 5.5905024066357605 1
6 6 -3.72966057745193 3.02193330679152 0.973005537778612 1
7 7 2.8434069201457404 3.2274209590028704 1.70590908826449 1
8 8 -3.0901270801610696 3.3545617692762404 -7.1729253090502905 1
9 9 -0.409065893321224 -1.90954690344935 -6.67840443152076 1
10 10 -3.79425605500687 4.22697753540106 9.2239524730851 1
11 11 2.76101507869214 -6.72274016868708 -9.45743411976884 1
12 12 -2.39981125596424 2.8934853204605098 -2.39963885347189 1
13 13 -2.8601698887345 6.52085339550542 3.14033256764021 1
14 14 -3.8218234175299104 3.8539342675905 0.6139956721050811 1
15 15 -7.34943064141507 -6.74944444951287 2.87781727088807 1
16 16 -2.4544092008313303 -1.6484174383767098 3.6824194240303 1
17 17 -1.84977840209869 3.5882307484011697 -2.44646342728503 1
18 18 4.9253344144547 1.31976457622107 -3.39277203522667 1
19 19 0.887798860425133 0.083656488787657 -4.3508640865335 1
20 20 3.9314266564341898 1.8863518751857 2.98594066944146 1
21 21 1.85917508618937 4.6833723087905 -4.954019885491991 1
22 22 -7.828602991577769 1.12477515687197 -4.18348345966318 1
23 23 -1.03988492757825 -2.92581920262934 -2.57364389690245 1
24 24 -9.76255248297099 3.65400635730088 -1.59796792072849 1
25 25 6.76968130555462 7.594575791550209 -1.78709039542007 1
26 26 0.515220498546017 -5.686569065625569 -1.8878143455597904 1
27 27 -1.50151079610076 1.18199496447284 -2.8772332519933794 1
28 28 -1.32588065242143 -0.11247963656973 4.60795775224582 1
29 29 1.42004059157107 -1.47205622858783 1.81694484108448 1
30 30 4.30460382866276 -5.90966432563463 6.219109638642559 1
31 31 -2.44521714133056 0.339253057147215 2.40943507058454 1
32 32 1.4354920995758602 1.26264096418108 -0.676917918872505 1
33 33 3.50869054308518 -1.73672598208866 -2.99414897476106 1
34 34 -3.43160418559579 1.61548300238869 -2.64586098305586 1
35 35 -0.242989434316416 3.70428666961378 3.4866823808176406 1
36 36 4.02594448377732 2.33712883592982 -0.217971088646771 1
37 37 0.0083290989027442 3.42953592346259 7.983659795823329 1
38 38 -0.0755742088722102 -0.915401876463058 1.8123702580381496 1
39 39 -3.49880957146012 -1.43862400982462 0.4712475453852079 1
40 40 -0.779280755592375 -1.5776480852729198 -2.67265794032052 1
41 41 2.1842610094128 -2.91253376198535 -6.77111805468536 1
42 42 -7.586185401671179 3.04928760960579 3.29831817203558 1
43 43 5.207523495662089 0.131170369301792 5.4081643908355 1
44 44 -3.67106268423725 1.04623042407749 -0.9324118487090122 1
45 45 7.14641636188957 -6.845694516672849 4.47661286477339 1
46 46 -1.35878254460064 3.4294905361319703 -6.811643708848389 1
47 47 -8.21282149597611 6.5799860798948 3.52476251452681 1
48 48 2.27351190636621 3.8977513555567502 -4.05171989741314 1
49 49 0.8821082194889119 -2.49426266897732 5.556400703175569 1
50 50 -0.999471895995638 -2.62162747249812 -0.16940934213951 1
