GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.39234600000000003,0.40636401099999997,0.4409322003394537,0.4144181658494983,0.41900464638542745,0.4133052930877469,0.4143579745425247,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.43135,0.6961188269999999,0.7303566626781971,0.4762368679937833,0.45364031634680296,0.4570403128017512,0.47461117688117904,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.190554,0.335488765,0.35017483382456815,0.18036881009934716,0.1701249702978299,0.16416357777585405,0.18117399968462677,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.148269,0.3452573735,0.35067978047554976,0.15375297969019916,0.14238145685579554,0.14282877921459652,0.1548855024052778,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.22739499999999999,0.47190905299999997,0.48949619080549867,0.23001296151962322,0.2279656990269128,0.22573806172815308,0.23150024749440262,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.161248,0.5552351375,0.5754810768151418,0.1503360352388274,0.15382203399369831,0.1547111873051476,0.15037686669996086,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.152043,0.31500302599999996,0.32087887925841646,0.17948665491102775,0.16438126872984374,0.16300668776926983,0.17920651767354168,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.187296,0.30093049499999996,0.30694068059043633,0.19642454808629137,0.19207365599772488,0.18330366508207133,0.19633159364663247,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.362538,0.4322720495,0.43852414856554117,0.33888369214910763,0.3323951084813305,0.34736651332263296,0.33670908909507447,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.3766,0.527527479,0.5374323677867523,0.4123694804802316,0.38424670238593855,0.3851391496343245,0.4136638160696688,0.25,1e-06,0.75,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
