FID,IID,Inter,Inter_miss,Tidyness,Happy_camper,Like_of_levis
1,1,1,0,-0.0521411423320655,-4.15319103327111,-0.69160400719928
2,2,NA,1,0.324902022208628,-0.133292724029327,-6.81345421584963
3,3,1,1,-3.01955903621191,-2.99481209029868,0.893209499554098
4,4,1,0,-5.92831410604981,0.487103419592547,1.60644002923525
5,5,NA,1,-5.01502385158879,6.37310754465628,5.59050240663576
6,6,1,1,-3.72966057745193,3.02193330679152,0.973005537778612
7,7,NA,1,2.84340692014574,3.22742095900287,1.70590908826449
8,8,1,1,-3.09012708016107,3.35456176927624,-7.17292530905029
9,9,1,0,-0.409065893321224,-1.90954690344935,-6.67840443152076
10,10,1,1,-3.79425605500687,4.22697753540106,9.2239524730851
11,11,1,1,2.76101507869214,-6.72274016868708,-9.45743411976884
12,12,1,0,-2.39981125596424,2.89348532046051,-2.39963885347189
13,13,1,1,-2.8601698887345,6.52085339550542,3.14033256764021
14,14,1,0,-3.82182341752991,3.8539342675905,0.613995672105081
15,15,1,1,-7.34943064141507,-6.74944444951287,2.87781727088807
16,16,1,1,-2.45440920083133,-1.64841743837671,3.6824194240303
17,17,1,1,-1.84977840209869,3.58823074840117,-2.44646342728503
18,18,1,1,4.9253344144547,1.31976457622107,-3.39277203522667
19,19,1,1,0.887798860425133,0.083656488787657,-4.3508640865335
20,20,1,0,3.93142665643419,1.8863518751857,2.98594066944146
21,21,1,1,1.85917508618937,4.6833723087905,-4.95401988549199
22,22,1,1,-7.82860299157777,1.12477515687197,-4.18348345966318
23,23,1,1,-1.03988492757825,-2.92581920262934,-2.57364389690245
24,24,1,1,-9.76255248297099,3.65400635730088,-1.59796792072849
25,25,1,1,6.76968130555462,7.59457579155021,-1.78709039542007
26,26,1,1,0.515220498546017,-5.68656906562557,-1.88781434555979
27,27,1,1,-1.50151079610076,1.18199496447284,-2.87723325199338
28,28,1,1,-1.32588065242143,-0.11247963656973,4.60795775224582
29,29,1,1,1.42004059157107,-1.47205622858783,1.81694484108448
30,30,1,1,4.30460382866276,-5.90966432563463,6.21910963864256
31,31,1,1,-2.44521714133056,0.339253057147215,2.40943507058454
32,32,1,1,1.43549209957586,1.26264096418108,-0.676917918872505
33,33,1,1,3.50869054308518,-1.73672598208866,-2.99414897476106
34,34,1,1,-3.43160418559579,1.61548300238869,-2.64586098305586
35,35,1,1,-0.242989434316416,3.70428666961378,3.48668238081764
36,36,1,1,4.02594448377732,2.33712883592982,-0.217971088646771
37,37,1,1,0.00832909890274426,3.42953592346259,7.98365979582333
38,38,1,1,-0.0755742088722102,-0.915401876463058,1.81237025803815
39,39,1,1,-3.49880957146012,-1.43862400982462,0.471247545385208
40,40,1,1,-0.779280755592375,-1.57764808527292,-2.67265794032052
41,41,1,1,2.1842610094128,-2.91253376198535,-6.77111805468536
42,42,1,1,-7.58618540167118,3.04928760960579,3.29831817203558
43,43,1,1,5.20752349566209,0.131170369301792,5.4081643908355
44,44,1,1,-3.67106268423725,1.04623042407749,-0.932411848709012
45,45,1,1,7.14641636188957,-6.84569451667285,4.47661286477339
46,46,1,1,-1.35878254460064,3.42949053613197,-6.81164370884839
47,47,1,0,-8.21282149597611,6.5799860798948,3.52476251452681
48,48,1,1,2.27351190636621,3.89775135555675,-4.05171989741314
49,49,1,1,0.882108219488912,-2.49426266897732,5.55640070317557
50,50,1,1,-0.999471895995638,-2.62162747249812,-0.16940934213951
51,51,1,1,1.21291993841647,1.71249851926219,1.27739970249576
52,52,1,1,-1.39027617613405,-4.12759080531206,7.9843218913083
53,53,1,1,-1.26075039333085,-3.7291222293167,0.818347035931356
54,54,1,1,-4.36175078091504,-7.55397642621331,-1.20106076501952
55,55,1,1,-6.59793961750209,-5.45461661162059,6.26099170947414
56,56,1,1,5.65610474778846,-5.48032169815218,-2.55381202368973
57,57,1,1,4.00580130144023,-0.0990469914032304,3.93967630265666
58,58,1,1,2.14650724658356,2.66613572562419,4.01111011125527
59,59,1,1,6.10931650367827,-0.21200690455854,10.745598434979
60,60,1,1,-2.1231748193879,7.93601693047433,-3.30483827410385
61,61,1,1,-0.554259302766757,-2.05442925127502,-1.56554321485678
62,62,1,1,-2.81549126582535,2.55679323641026,1.48523922953416
63,63,1,1,2.1559183914967,-2.34212332800014,-1.12121330765702
64,64,1,1,3.34767242210017,4.49948826855462,2.07576491058385
65,65,1,1,0.255954925472089,1.01828669262243,-4.69956870477306
66,66,1,1,5.92550349690631,4.29239307694502,7.20021378666425
67,67,1,0,-2.21134160455805,-2.13130408116794,-1.81015497311195
68,68,1,0,-5.9524495630449,11.3167315672718,-4.95683003195555
69,69,1,0,5.94272076066779,2.00138271158121,-8.27237145039509
70,70,1,0,1.93086535374034,-3.2131891085922,1.20639671089703
71,71,1,0,-5.17092238508842,-1.5057569880165,-5.6285927148385
72,72,1,0,-0.374017342724146,-0.152665003958633,-0.0120561485328921
73,73,1,0,3.01580625012436,-5.6289597993145,0.77996300015624
74,74,1,0,4.41235473393605,-6.95595286236527,5.66226644109554
75,75,1,1,-6.14488978308027,-2.87035102862763,2.14313766428414
76,76,1,1,-0.305667572535775,-0.430290383415048,2.58038896177807
77,77,1,1,-7.29029531765732,-1.16061608786162,8.27160981801749
78,78,1,1,7.09467754270913,5.56647590014019,-3.60460444986145
79,79,1,1,1.44138487158172,3.20553456239331,3.15660670292376
80,80,1,1,-4.7227305670875,-6.16880418322715,-0.510689225474814
81,81,1,1,-1.72482119875091,5.0165270767323,2.58694148294723
82,82,1,1,-0.858725740760286,2.42068506500627,4.06532771529145
83,83,1,1,-1.88259954046867,2.72918766520266,6.77450655151081
84,84,1,0,-2.67636619618942,1.64481473389695,-3.46700104294939
85,85,1,0,2.67086628584027,-0.0363903520532338,1.72491527762671
86,86,1,0,1.02854038519666,-2.05055512655547,-1.30810963713231
87,87,1,0,1.9335727666543,-1.28215003739153,3.16633901504528
88,88,1,0,-0.159736505903446,-0.870679602518095,3.45459308204825
89,89,1,0,2.17927265708644,2.12384514707637,0.895720888529412
90,90,1,0,-4.23837650098769,-2.72293946687017,-2.61035843581577
91,91,1,0,-1.22046282135022,6.34820155528871,2.76319202957618
92,92,1,0,2.04661205101729,-1.18817329445216,-2.82068781778018
93,93,1,0,-0.326444436006096,-3.63787608247453,4.08111804466419
94,94,1,0,2.05077022791314,-6.10888700644821,-5.74366398776571
95,95,1,0,7.92117488781727,3.9922045233327,3.64207900041689
96,96,1,0,1.9766371659713,3.53881240178397,-0.847710218044367
97,97,1,0,1.48381249632179,2.01656449252704,-3.20657530628386
98,98,1,0,9.25553850037643,-1.46794315611189,1.14081407525433
99,99,1,0,10.2618040986073,-0.143257050304304,-4.75723962952635
100,100,1,1,3.41173497191984,4.30894051124421,-0.814497538868505
101,101,1,1,-7.2837377730686,14.0351453360114,-4.3798974374662
